date,forecast,lower,upper
2025-11-16,206.95,194.12553429278412,219.77446570721585
2025-11-17,205.15503275158366,203.89845686096308,206.41160864220424
2025-11-18,203.78203503516264,202.52545914454208,205.0386109257832
2025-11-19,202.83100685073694,199.4585789089979,206.20343479247597
2025-11-20,199.19302561698805,190.48015014011156,207.90590109386454
2025-11-21,204.56843769534532,183.93657031478838,225.20030507590226
2025-11-22,183.3070230664972,182.918962864982,183.6950832680124
2025-11-23,179.82262633152604,166.50846560811246,193.13678705493962
2025-11-24,195.47118026254418,169.38799100355976,221.5543695215286
2025-11-25,164.8147834913685,135.14665713267246,194.48290985006454
2025-11-26,199.68467014820345,196.14593069152934,203.22340960487756
2025-11-27,195.5254778126171,191.9774988273355,199.07345679789873
2025-11-28,191.35542596701617,174.15142369984332,208.55942823418903
2025-11-29,171.1350183198574,165.37879199738228,176.89124464233254
2025-11-30,177.90049305894436,164.10587684794055,191.69510926994818
2025-12-01,194.11374151072096,167.55009676414633,220.67738625729558
2025-12-02,162.8926502187868,121.3147714850178,204.4705289525558
2025-12-03,211.76044528442284,205.59767970321755,217.92321086562814
2025-12-04,219.00373846415155,198.9816799716899,239.0257969566132
2025-12-05,195.47118026254418,188.54153380691602,202.40082671817234
2025-12-06,187.32654775160483,185.01666559972878,189.6364299034809
2025-12-07,190.04142525525128,186.34561381224958,193.73723669825299
2025-12-08,185.69762124941695,152.43531826240178,218.95992423643213
2025-12-09,146.60338519690814,101.94874343684023,191.25802695697604
2025-12-10,199.08739709740124,196.00139454249484,202.17339965230764
2025-12-11,202.71447344227286,191.93194355731544,213.4970033272303
2025-12-12,190.04142525525128,190.04142525525128,190.04142525525128
2025-12-13,190.04142525525128,183.11177879962312,196.97107171087944
2025-12-14,181.89679274431194,179.58691059243588,184.206674896188
2025-12-15,184.6116702479584,161.51284872919783,207.71049176671895
2025-12-16,157.4628952114939,106.64548787022069,208.28030255276713
2025-12-17,217.19020029171574,204.8739086579126,229.50649192551887
2025-12-18,202.71447344227286,193.47494483476865,211.95400204977707
2025-12-19,191.8549634276871,185.6921978464818,198.0177290088924
2025-12-20,184.6116702479584,184.6116702479584,184.6116702479584
2025-12-21,184.6116702479584,183.68771738720795,185.53562310870882
2025-12-22,183.5257192464998,156.73108628473756,210.32035220826202
2025-12-23,152.033140204201,80.42679349604329,223.63948691235873
2025-12-24,236.19434281724088,206.16587484285216,266.2228107916296
2025-12-25,271.4877503646447,169.85293568209826,373.1225650471911
2025-12-26,152.033140204201,123.15961330575031,180.90666710265168
2025-12-27,185.9691089997816,184.81416792384357,187.12405007571965
2025-12-28,184.6116702479584,177.220047361955,192.00329313396176
2025-12-29,193.29927825962702,168.9715994360684,217.62695708318563
2025-12-30,164.7061883912226,115.43178232740259,213.98059445504265
2025-12-31,222.61995529900864,181.04207656523965,264.1978340327776
2026-01-01,152.033140204201,76.58885612647912,227.47742428192288
2026-01-02,177.58556726852137,118.27950141215217,236.89163312489057
2026-01-03,173.1874657126141,131.67939232730748,214.69553909792074
2026-01-04,165.28174242199566,118.7806291449998,211.7828556989915
2026-01-05,164.25008897061002,106.8095545023445,221.69062343887555
2026-01-06,184.48135612778336,129.53048303408264,239.43222922148408
2026-01-07,173.06801110245368,110.90877959369064,235.22724261121672
2026-01-08,185.0460506485418,130.45182326139033,239.64027803569329
2026-01-09,154.053009066914,100.4601330866123,207.6458850472157
2026-01-10,166.73691676395018,121.15485203844656,212.3189814894538
2026-01-11,152.17431383439063,121.3999045019599,182.94872316682137
2026-01-12,153.84667837663685,112.12598928165664,195.56736747161705
2026-01-13,171.93862206093678,129.64181297845397,214.2354311434196
2026-01-14,158.8529124933609,111.72081065862409,205.9850143280977
2026-01-15,153.31456238592216,102.68458919849098,203.94453557335333
2026-01-16,147.7762122784834,113.36676016776244,182.18566438920436
2026-01-17,167.16043765451903,111.3796774359634,222.94119787307466
2026-01-18,149.53545290084628,107.37581524395934,191.69509055773324
2026-01-19,152.033140204201,107.50729545578551,196.5589849526165
2026-01-20,164.16321289049333,123.35471377572559,204.97171200526105
2026-01-21,150.8168750825674,108.32802600425039,193.30572416088444
2026-01-22,168.995694846984,139.31865691932015,198.67273277464787
2026-01-23,143.7147555330283,104.73063637868546,182.69887468737113
2026-01-24,152.08743775427396,116.68349280798304,187.49138270056488
2026-01-25,146.31017842651428,97.902382333736,194.71797451929257
2026-01-26,141.17363018961524,94.87827405101316,187.4689863282173
2026-01-27,151.32727205325293,116.80122423077547,185.8533198757304
2026-01-28,148.26489022913975,110.88567675426846,185.64410370401106
2026-01-29,146.33189744654348,105.1804697677861,187.48332512530087
2026-01-30,144.40976417396178,101.92777366692457,186.891754680999
2026-01-31,150.69742047240698,112.07680559589316,189.31803534892077
2026-02-01,145.21336791504115,103.14289168479151,187.2838441452908
2026-02-02,141.17363018961524,96.56548258584223,185.78177779338824
2026-02-03,149.83951918125467,111.02000573762685,188.6590326248825
2026-02-04,145.75634341577043,104.85868287436537,186.6540039571755
2026-02-05,142.93287081197812,102.58389597295651,183.28184565099974
2026-02-06,140.1202577182004,98.2143871986658,182.026128237735
2026-02-07,148.02598100881886,110.36556611147606,185.68639590616166
2026-02-08,142.60708551154056,95.94136652382966,189.27280449925146
2026-02-09,134.38643643049912,84.84011750527522,183.93275535572303
2026-02-10,149.41599829068585,111.67328053798553,187.15871604338616
2026-02-11,147.18979873769575,109.83801954794362,184.5415779274479
2026-02-12,162.28451765796999,132.1410968832802,192.42793843265977
2026-02-13,138.4587526859688,93.96034222267247,182.9571631492651
2026-02-14,147.2983938378416,110.74906748782522,183.84772018785796
2026-02-15,140.15283624824417,98.26068287126915,182.0449896252192
2026-02-16,139.36009201717943,96.4048600918365,182.31532394252235
2026-02-17,147.93910492870216,109.83288289817281,186.04532695923152
2026-02-18,147.0812036375499,109.00241589213971,185.15999138296007
2026-02-19,155.74709262918935,123.70384760999693,187.79033764838178
2026-02-20,136.56919794343085,91.50152606391171,181.63686982295
2026-02-21,144.89844212461816,107.4917943646277,182.3050898846086
2026-02-22,137.18819001426223,98.15606086096084,176.22031916756362
2026-02-23,135.74387518232234,94.38669036517115,177.10105999947353
2026-02-24,145.5282937054641,108.93781592776898,182.11877148315924
2026-02-25,157.98415169219402,128.99297089250942,186.97533249187862
2026-02-26,162.77319560862634,135.70927333856355,189.83711787868913
2026-02-27,140.71753076900265,91.98052325479433,189.45453828321098
2026-02-28,143.8776481832471,107.60266468442245,180.15263168207173
2026-03-01,139.5338441774128,98.86741493657584,180.20027341824974
2026-03-02,138.4587526859688,98.58569778419333,178.33180758774427
2026-03-03,145.98439312607675,109.84190744288114,182.12687880927237
2026-03-04,146.0929882262226,110.99447368671537,181.1915027657298
2026-03-05,164.83650251139764,128.1328168152717,201.54018820752358
2026-03-06,138.70852141630425,98.06427848818466,179.35276434442386
2026-03-07,145.3111035051724,106.90026834216144,183.72193866818338
2026-03-08,140.34830742850673,96.35389249206281,184.34272236495065
